Newfoundland and Labrador,,
SBM Nova Scotia Contractors Inc.,"250 Baker Drive, Suite 222, Dartmouth, NS  B2W 6L4",5
Secrets Spa & Hair Design,"830 Reeves Street, Port Hawkesbury, NS  B9A 2S3",1
Showcase Hair Design,"5982 Spring Garden Road, Halifax, NS  B3H 1Y7",2
Smith & Scott Steakhouse,"6160 Young Street, Halifax, NS  B3K 2A3",2
Solit Management Canada Ltd.,"14 Bay Street, Arichat, NS  B0E 1A0",2
South Shore District Health Authority,"90 Glen Allan Drive, Bridgewater, NS  B4V 3S6",2
Spiteful Too Pictures Inc,"5182 Bishop Street, Halifax, NS  B3J 1C9",2
Spurr Brothers Farms Ltd,"144 Bridge Street, RR 2, Kingston, NS  B0P 1R0",14
Subway,"403 Charlotte Street, Sydney, NS  B1P 1E3",3
Sunsel Systems Manufacturing Corporation,"800A Windmill Road, Dartmouth, NS  B3B 1L1",3
Talay Thai Dartmouth Restaurant Inc,"984 Cole Harbour Road, Dartmouth, NS  B2V 1E7",2
Talay Thai Restaurant,"1261 Barrington Street, Halifax, NS  B3J 1Y2",2
Thai Ivory Cuisine,"6303 Quinpool Road, Halifax, NS  B3L 1A4",3
The Argyle Bar & Grill,"1575 Argyle Street, Halifax, NS  B3J 2B2",1
The Tom Kotter Company Ltd.,"1674 Hollis Street, Halifax, NS  B3J 1V7",1
Thompson's Moving Group Ltd.,"51 Thornhill Drive, Dartmouth, NS  B3B 1R9",1
Traditional Evergreen Tree Farm Ltd,"Box 25, 184 William Wile Road, Bridgewater, NS  B4V 2W6",4
Turkish Delight,"5680 Spring Garden Road, Halifax, NS  B3J 1H5",1
VanMeekeren Farms Ltd,"237 Thorpe Road, Lakeville, NS  B4N 3V7",13
Vermeuland Farms Limited,"257 Nelson Hill, Milford Station, NS  B0N 1Y0",2
Vital Berry Farms,"1225 Middle Dyke Road, Centreville, NS  B0P 1J0",43
West River Holsteins,"4543 Harbour Centre RR 4, Antigonish, NS  B2G 2L2",2
Wolfville Nursing Homes Ltd,"601 Main Street, Wolfville, NS  B4P 1E9",5
New Brunswick,,
Employer,Address," Positions 
Approved"
053636 NB Ltd.,"372 Beausejour Street, Dieppe, NB  E1A 1Y6",6
"501359 NB, Ltd. (Subway-Morton Ave)","99 Morton Avenue, Moncton, NB  E1A 3H8",2
A-oK Trucking Inc.,"79 Somerville Road, Unit 4, Somerville, NB  E7P 2S1",1
BEUMER Group Canada Corporation,"95 Foundry Street, Suite 300, Moncton, NB  E1C 5H7",1
BOAZ West Japanese & Korean Restaurant,"200 Bridge Road, Saint John, NB  E2M 7Y9",1
BTN Atlantic,"891 Route 880, P.O. Box 243, Berwick, NB  E5P 3H5",7
CARIS,"115 Waggoners Lane, Fredericton  NB  E3B 2L4",1
Centre hospitalier universitaire Dr-Georges-L.-Dumont,"330 Université Avenue, Moncton, NB  E1C 2Z3",1
Cooke Aquaculture Inc. (incl. GMG Fish Services),"669 Main Street, Blacks Harbour, NB  E5H 1K1",1
D-U-C Trucking Inc.,"177 Houlton Road, Woodstock, NB  E7M 1Y7",1
Elsipogtog Mental Health & Addictions,"2 Big Cove Road, Suite 205, Elsipogtog, NB  E4W 2S1",1
Ferme Bourgeois Farms Inc.,"1209 Principale Street, Memramcook, NB  E4K 2S6",3
Horizon Health Network,"P.O. Box 2100, Saint John, NB  E2L 4L2",3
Irving Oil Company Limited,"10 Sydney Street, P.O. Box 1421, Saint John, NB  E2L 4K1",1
Jeramand Trucking,"2320 Route 115, Irishtown, NB  E1H 2L3",4
Jolly Farmer Products Inc,"56 Crabbe Road, Northampton, NB  E7N 1R6",22
JP's Garage,"1105 Champlain Street, Dieppe, NB  E1A 1P9",1
Les Petits Fruits de Pré-d'en-Haut Inc,"831 Pré-d'en-Haut Street, Memramcook, NB  E4K 1K8",1
Leslie Leger and Sons Ltd,"34, chemin de la Côte, Trois-Ruisseaux, NB  E4N 3B3",9
Marlene Moffett Ltd,"12186 Route 14, Penobquis, NB  E4G 2Z4",1
McConnell Transport Ltd.,"P.O. Box 9053, Woodstock, NB  E7M 6B5",21
Misu Restaurant,"435 Brookside Drive, Unit 31, Fredericton, NB  E3A 8V4",1
Mother Nature's,"337 Rothesay Avenue, Saint John, NB  E2J 2C3",2
NARU Japanese Restaurant Ltd.,"536 Queen Street, Fredericton, NB  E3B 1B9",1
Norbulk Shipping NB Ltd.,"251 Bayside Drive, Saint John, NB  E2J 1A7",20
Quality Transportation Services,"43 Sewell Road, Jacksonville, NB  E7M 3S1",4
REM Transport,"4 Hall Road, P.O. Box 481, St. Stephen, NB  E3L 3A6",2
Shediac Lobster Shop,"261 Main Street, Shediac, NB  E4P 2A6",86
Sowcow Farms Inc,"12186 Route 114, Penobsquis  NB  E4G 2Z4",2
Sunbury Dental Lab Inc.,"268 Restigouche Road, Oromocto, NB  E2V 2G9",1
Taste of Mediterranean,"519 Westmorland Road, Saint John, NB  E2J 3W9",2
The Marcan Group 2006 Inc. o/a Subway,"706 Main Street, Moncton, NB  E1C 1E4",2
Tisdale Trucking,"7989 Route 104, Bubartown, NB  E7P 2K1",1
Tran's Place Restaurant,"436 Elmwood Drive, Moncton, NB  E1A 2X1",1
Trius Disposal Systems Ltd,"70 Trius Drive, P.O. Box 1385, Fredericton, NB  E3B 5E3",1
Vito's Pizzeria Food Production Ltd.,"726 Mountain Road, Moncton, NB  E1C 2P8",2
W. I. Goddard & Sons Ltd.,"4248 Route 106, Petitcodiac East, NB  E4Z 3L4",2
Windhaven Farms,"26 Lancelot Drive, Moncton, NB  E1A 6N6",1
Xplornet Communications Inc.,"300 Lockhart Mill Road, Woodstock, NB  E7M 5C3",1
Quebec,,
Employer,Address," Positions 
Approved"
1976 productions,"6758 Henri-Julien Avenue, Montreal, QC  H2S 2V4",2
2637-5808 Québec inc.,"2091, route Marie-Victorin, St-Nicolas, QC  G7A 4H4",2
8 Count Dance Inc.,"87B Brunswick Boulevard, Dollard-des-Ormeaux, QC  H9B 2J5",1
8775478 CANADA INC.,"558 Frontenac Street, Bromont, QC  J2L 1Y2",1
8925461 Canada Inc.,"8180, chemin Devonshire, Suite 2, Mont-Royal, QC  H4P 2K3",1
9008-1951 Québec Inc.,"634, 5e Rang, La Présentation, QC  J0H 1B0",64
9017 1760 Québec Inc. (Les Serres Fortier),"1703, route Marie-Victorin, St-Nicolas, QC  G7A 4H4",2
9029-0354 Québec Inc,"113, rang St-Édouard, Saint-Jean-sur-Richelieu, QC  J2X 5T9",1
9053-4785 Québec inc.,"6525 Décarie Boulevard., Suite 209, Montreal, QC  H3W 2E3",1
9121-2399 Qc inc.,"929 Principale Street, St-Ferdinand, QC  G0N 1N0",6
9150-5784 Québec inc,"124, chemin des Raymond, Rivière-du-Loup, QC  G5R 5X4",1
9199-4582 Québec inc.,"481, montée de la Rivière-du-Sud, Montmagny, QC  G5V 3R9",1
9230-3460 Québec Inc.,"152, chemin de la Butte, Saint-Ferréol-Les-Neiges, QC  G0A 3R0",1
9247 9880 Québec Inc (Ferme Franot),"2074, chemin Lalande, Mirabel, QC  J7N 2Z3",1
9248-9921 Quebec inc.,"9187, 13e Avenue, Montreal, QC  H1Z 3L4",1
9260-6946 Québec Inc.,"6405, montée Villeneuve, Mirabel, QC  J7N 2H1",9
9266-0745 Québec Inc,"480, chemin Héroux, St-Boniface, QC  G0X 2L0",1
9268-8894 Québec Inc.,"5555 Casgrain Avenue, Suite 301, Montreal, QC  H2T 1Y1",1
9272-3444 Québec Inc. pour le moment,"204 Notre-Dame Street West, Suite 350, Montreal, QC  H2Y 1T3",1
9274-7948 Quebec inc. Les Serres Sagami St-Janvier,"16949, chemin Victor, St-Janvier Mirabel, QC  J7P 1P3",11
9280-7692 Quebec inc.,"3575 Du Parc Avenue, Suite 4115, Montreal, QC  H2X 3P9",1
9282-7542 Québec Inc.,"6177 Marivaux Street, Saint-Léonard, QC  H1P 3H6",1
A & R Boulet Inc.,"482, chemin Rivière du Sud, St-François-de-la-Rivière-du-Sud, QC  G0R 3A0",1
"A&W Restaurant, Sept-Îles (9215-5662 Quebec Inc.)","719 Laure Boulevard, Sept-Îles, QC  G4R 1Y2",7
AAA Canada Inc.,"780 Brewster Avenue, Suite 03-200, Montreal, QC  H4C 2K1",1
ABB Inc,"8585 Trans Canada Highway, Saint-Laurent, QC  H4S 1Z6",1
Absolunet inc.,"4800 Ambroise-Lafortune Street, Suite 101, Boisbriand, QC  J7H 1S6",1
Accent-Fairchild Group inc.,"5151 Thimens Boulevard, Montreal, QC  H4R 2C8",1
ACCEO Solutions Inc.,"75 Queen Street, Suite 6100, Montreal, QC  H3C 2N6",1
Acensi,"430 Sainte-Hélène Street, Suite 501, Montreal, QC  H2Y 2K7",1
Acquisio Inc.,"6300 Auteuil Avenue, Suite 300, Brossard, QC  J4Z 3P2",1
Agence de la santé et des services sociaux de Montréal,"3725 St-Denis Street, Montreal, QC  H2X 3L9",1
Agence Média Équation Humaine Inc.,"325 Du Marais Street, Suite 234, Québec, QC  G1M 3R3",1
AgileDSS Inc.,"407 McGill Street, Suite 501, Montreal, QC  H2Y 2G3",1
Agritabex Inc.,"1380, rang Sud, St-Thomas-de-Joliette, QC  J0K 3L0",2
Air Canada,"7373 Côte-Vertu Boulevard, Saint-Laurent, QC  H4Y 1H4",2
Aircraft Maintenance Systems RD Inc.,"1100 Sherbrooke Street West, Suite 100, Montreal, QC  H3A 1G7",1
Akka Groupe Amérique du Nord Inc.,"2000 Peel Street, Suite 660, Montreal, QC  H3A 2W5",1
AlayaCare,"4200 St-Laurent Boulevard, Suite 320, Montreal, QC  H2W 2R2",1
ALCHIMIE 24 INC. (ALCHEMY 24 INC.),"4710 St-Ambroise Street, Suite 352, Montreal, QC  H4C 2C7",1
Alexander von Humboldt German School,"216 Victoria Drive, Baie D'urfé, QC  H9X 2H9",2
Alta Precision Inc.,"11120 Colbert Street, Anjou, QC  H1J 2S1",1
Alten Canada inc.,"1100 René-Lévesque Boulevard West, Suite 1305, Montreal, QC  H3B 4N4",5
Amcor Flexibles Capsules Canada,"2301, Route 112, Saint-Césaire, QC  J0L 1T0",1
Apcurium Group,"5250 Ferrier Street, Suite 709, Montreal, QC  H4P 1L4",2
Approuve,"1797 Papineau Street, Longueuil, QC  J4K 3L4",1
Argex Titane Inc,"630 Sherbrooke Street West, Suite 410, Montreal, QC  H3E 1E4",1
Association Péruvienne de Montréal,"7201 Papineau Avenue, Montreal, QC  H2E 2G7",2
ASSOCIATION QUÉBÉCOISE DES PARENTS ET AMIS DE LA PERSONNE ATTEINTE DE MALADIE MENTALE INC.,"1260 Sainte-Catherine Street East, Suite 202, Montreal, QC  H2L 2H2",1
Assystem Canada Inc.,"395 Saint-Croix Avenue, Suite 200, St-Laurent, QC  H4N 2L3",1
Atelier D'usinage Megatech A.Q. Inc.,"340 Galilée Street, Québec, QC  G1P 4M9",1
ATELIER D'USINAGE ST-HUBERT LTÉE,"4640 Thibault Avenue, St-Hubert, QC  J3Y 0A8",1
Atocas Notre Dame inc.,"136, route 165, Saint-Sophie d'Halifax, QC  G0P 1L0",15
Atomic Fiction,"2050 De Bleury Street, Suite 800, Montreal, QC  H3A 2J5",6
Auberge La Châtelaine,"830, chemin des falaises, La Malbaie, QC  G5A 2V7",1
Autodesk Canada Co.,"10 Duke Street, Montreal, QC  H3C 2L7",2
Automoteur M.M.R. Inc.,"P.O. Box 363, Lourdes-de-Blanc-Sablon, QC  G0G 1W0",2
Aux Aubépines 2002 inc.,"3150, chemin de l'Église, St-Polycarpe, QC  J0P 1X0",11
AZZIMOV MOBILITÉ INC. (antérieur: Guidyu Mobile Inc.),"5570 Cartier Street, Suite 105, Montreal, QC  H2H 1X9",3
B Cousineau & Fils  S.E.N.C,"605, rang de la Rivière-Sud, St-Roch De L'achigan, QC  J0K 3H0",4
Bad Hair Productions (Muse) Inc.,"706 Brewster Avenue, Montreal, QC  H4C 2K1",3
Ballets Jazz De Montreal(Les),"1210 Sherbrooke Street East, Montreal, QC  H2L 1L9",3
BAM Strategy,"4810 Jean-Talon Street West, Suite 203, Montreal, QC  H4P 2N5",1
Bangkok Express,"5645 De Monkland Avenue, Montreal, QC  H4A 1E2",1
Banque Nationale du Canada,"1360 René-Lévesque Boulevard West, 5th Floor, Montreal, QC  H3G 2W4",2
Banque Nationale Groupe Financier,"1100 University Street, Montreal, QC  H3B 2G7",1
Baobaz Inc,"3981 Saint-Laurent Boulevard, Suite 600, Montreal, QC  H2W 1Y5",1
BCA Research Inc.,"1002 Sherbrooke Street West, Suite 1600, Montreal, QC  H3A 3L6",1
Beenox inc.,"305 Charest Boulevard East, Suite 700, Québec, QC  G1K 3H3",1
Behaviour Interactif Inc.,"416 De Maisonneuve Boulevard West, Suite 600, Montreal, QC  H3A 1L2",5
Benjoporc inc.,"97, rang des Forges, Ste-Geneviève-de-Batiscan, QC  G0X 2R0",2
Beyond Technologies Consulting Inc.,"111 Duke Street, Suite 3600, Montreal, QC  H3C 2M1",2
BG Communications,"4996, Place de la Savane, Montreal, QC  H4P 1Z8",1
Bibliothèque Archives Nationales du Québec,"475 De Maisonneuve Boulevard East, Montreal, QC  H2L 5C4",1
Biomod Concepts Inc.,"75 De Mortagne Boulevard, P.O. Box 119, Boucherville, QC  J4B 6Y4",1
Bistro Kiyomi Tapas Coreen,"145, Promenade Centropolis, Laval, QC  H7T 0B3",1
BLANKETS & BEYOND,"350 Louvain Street West, Suite 500, Montreal, QC  H2N 2E8",1
Bleuetière Du Point Du Jour,"330, rang Point-du-Jour Sud, Lavaltrie, QC  J5T 3P4",1
Bloomind Inc.,"1000 De La Gauchetiere Street West, Suite 2400, Montreal, QC  H3B 4W5",1
BNP Paribas,"1981 McGill College Avenue, Montreal, QC  H3A 2W8",1
BNP Paribas Solutions TI Canada Inc.,"1981 McGill College Avenue, Montreal, QC  H3A 2W8",1
Bombardier Aéronautique,"400 De La Côte-Vertu Boulevard West, Dorval, QC  H4S 1Y9",12
Bombardier Aerospace,"400  De La Côte-Vertu Boulevard West, Dorval, QC  H4S 1Y9",3
Bombardier Inc.,"400 De La Côte-Vertu Boulevard West, Dorval, QC  H4S 1Y9",3
