Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Nouvelle-Écosse,     Haut salaire,Dalhousie University,"HALIFAX, NS B3H 4R2",4011-Professeurs et chargés de cours au niveau universitaire,2
Nouvelle-Écosse,     Haut salaire,Halifax Port Authority,"Halifax, NS B3H 4P8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Halterm Container Terminal Limited Partnership,"Halifax, NS B3J 2X1",0211-Directeurs des services de génie,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Directeurs des services de génie,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Directeurs de la fabrication,2
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2173-Ingénieurs et concepteurs en logiciel,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0113-Directeurs des achats,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",0211-Directeurs des services de génie,2
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7","2148-Autres ingénieurs, n.c.a.",2
Nouvelle-Écosse,     Haut salaire,Mr. Rooter Plumbing,"Middle Sackville, NS B4E 3A8",7251-Plombiers,1
Nouvelle-Écosse,     Haut salaire,REVENUEROCKET - ONLINE MARKETING SOLUTIONS INC.,"HALIFAX, NS B3J 3E5","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Sattva Food,"HALIFAX, NS B3K 3G9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,Seascape Building Maintenance Inc.,"LUCASVILLE, NS B4B 1R8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,St. Francis Xavier University,"ANTIGONISH, NS B2G 2W5",4011-Professeurs et chargés de cours au niveau universitaire,1
Nouvelle-Écosse,     Haut salaire,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2172-Analystes de bases de données et administrateurs de données,1
Nouvelle-Écosse,     Haut salaire,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2174-Programmeurs et développeurs en médias interactifs,4
Nouvelle-Écosse,     Haut salaire,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",5241-Designers graphiques et illustrateurs,2
Nouvelle-Écosse,   Bas salaire,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",6322-Cuisiniers,3
Nouvelle-Écosse,   Bas salaire,3253587 Nova Scotia Ltd. o/a Thai Ivory Cuisine,"Halifax, NS B4A 1B5",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,3274912 Nova Scotia Limited,"Timberlea, NS B3T 1B4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,A & D Services Ltd.,"New Minas, NS B4N 3K9",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Blue Elephant Thai Restaurant,"Bedford, NS B3M 0G2",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Doraku Foods LTD,"Dartmouth, NS B2W 2L7",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Fung Lum Restaurant Limited,"BEDFORD, NS B4A 4L5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Nouvelle-Écosse,   Bas salaire,Helen's Family Barbershop Ltd.,"HALIFAX, NS B3K 5N6",6341-Coiffeurs et barbiers,1
Nouvelle-Écosse,   Bas salaire,Holloway Lodging LP,"HALIFAX, NS B3S 0H9",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,9
Nouvelle-Écosse,   Bas salaire,I.L.MACISAAC INVESTMENTS INC.,"bridgewater, NS B4V 2S7",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,Jubilee Road Children's Centre,"HALIFAX, NS B3H 2E8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,3
Nouvelle-Écosse,   Bas salaire,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",3
Nouvelle-Écosse,   Bas salaire,Little Picasso Art Centre Ltd.o/a Little Picasso Daycare & Art Centre,"HALIFAX, NS B3M 4N7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Papa Marios Pizza Limited,"HALIFAX, NS B3L 4V9",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Sahla Thai Limited,"Truro, NS B2N 1G7",6322-Cuisiniers,1
Nouvelle-Écosse,  Agriculture primaire,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,22
Nouvelle-Écosse,  Agriculture primaire,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8611-Manoeuvres à la récolte,6
Nouvelle-Écosse,  Agriculture primaire,Birchleigh Farms Ltd,"ROCKLAND, NS B0P 1E0",8431-Ouvriers agricoles,3
Nouvelle-Écosse,  Agriculture primaire,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Bragg Lumber Company,"Collingwood, NS B0M 1P0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,Charles Keddy Farms Limited,"KENTVILLE, NS B4N 3V7",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,10
Nouvelle-Écosse,  Agriculture primaire,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8431-Ouvriers agricoles,14
Nouvelle-Écosse,  Agriculture primaire,High Point Orchards Ltd.,"KENTVILLE, NS B4N 3V7",8431-Ouvriers agricoles,5
Nouvelle-Écosse,  Agriculture primaire,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,5
Nouvelle-Écosse,  Agriculture primaire,J&L Oostvogels Farms Inc.,"Antigonish, NS B2G 2J1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,  Agriculture primaire,Jost Vineyards Limited,"NORTH SHORE (MALAGASH), NS B0K 1E0",8431-Ouvriers agricoles,3
Nouvelle-Écosse,  Agriculture primaire,MacGregor Dairy Farm Ltd.,"Churchville, NS B0K 1B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,  Agriculture primaire,Mahoney's Evergreens L.P.,"East Dalhousie, NS B0R 1H0",8432-Ouvriers de pépinières et de serres,6
Nouvelle-Écosse,  Agriculture primaire,Noggins Corner Farm II Ltd.,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,11
Nouvelle-Écosse,  Agriculture primaire,Sarsfield Farms Incorporated,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,5
Nouvelle-Écosse,  Agriculture primaire,Starr Best Farms,"Woodville, NS B0P 1V0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,46
Nouvelle-Écosse,  Agriculture primaire,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,1
Nouvelle-Écosse,  Agriculture primaire,Stokdijk Greenhouses Limited,"Beaver Brook, NS B6L 1H3",8432-Ouvriers de pépinières et de serres,12
Nouvelle-Écosse,  Agriculture primaire,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,7
Nouvelle-Écosse,  Agriculture primaire,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8611-Manoeuvres à la récolte,6
Nouvelle-Écosse,  Agriculture primaire,Traditional vergreen Tree Farms,"Wileville, NS B4V 5J3",8431-Ouvriers agricoles,5
Nouvelle-Écosse,  Agriculture primaire,Tulip Farm,"PUGWASH, NS B0K 1L0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,  Agriculture primaire,Van Meekeren Farms Limited,"LAKEVILLE, NS B4N 3V7",8431-Ouvriers agricoles,8
Nouvelle-Écosse,  Agriculture primaire,Van Meekeren Farms Ltd.,"LAKEVILLE, NS B4N 3V7",8431-Ouvriers agricoles,3
Nouvelle-Écosse,  Talent mondial,Dalhousie University,"HALIFAX, NS B3H 4R2",0421-Administrateurs - enseignement postsecondaire et formation professionnelle,1
Nouvelle-Écosse,  Talent mondial,Eyeread Inc. (Operating as Squiggle Park),"DARTMOUTH, NS B3B 0R8",2175-Concepteurs et développeurs Web,2
Nouvelle-Écosse,  Talent mondial,Mindsea Development Incorporated,"HALIFAX, NS B3J 3M8",2174-Programmeurs et développeurs en médias interactifs,1
Nouvelle-Écosse,  Talent mondial,Nova Scotia Power,"Halifax, NS B3J 2W5",2171-Analystes et consultants en informatique,1
Nouvelle-Écosse,  Talent mondial,Peer Ledger Inc.,"Halifax, NS B3H 4P3",2173-Ingénieurs et concepteurs en logiciel,2
Nouvelle-Écosse,  Talent mondial,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",0213-Gestionnaires des systèmes informatiques,3
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",0213-Gestionnaires des systèmes informatiques,1
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2172-Analystes de bases de données et administrateurs de données,1
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2174-Programmeurs et développeurs en médias interactifs,6
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",2175-Concepteurs et développeurs Web,1
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Nouvelle-Écosse,  Talent mondial,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",5241-Designers graphiques et illustrateurs,2
Nouveau-Brunswick,     Haut salaire,682364 NB INC,"FREDERICTON, NB E3B 8P4",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,     Haut salaire,682364 NB Inc. o/a Lee's Mini Mart,"FREDERICTON, NB E3B 8P4",0621-Directeurs - commerce de détail et de gros,1
Nouveau-Brunswick,     Haut salaire,700827 NB Inc o/a J's Asian Kitchen,"FREDERICTON, NB E3B 1B2",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Conducteurs de camions de transport,8
Nouveau-Brunswick,     Haut salaire,Culberson Trucking Ltd.,"Jacksonville, NB E7M 3J8",7511-Conducteurs de camions de transport,2
Nouveau-Brunswick,     Haut salaire,Elephant Transport Inc.,"SCOUDOUC, NB E4P 1A9",7511-Conducteurs de camions de transport,2
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"WOODSTOCK, NB E7M  5G",0631-Directeurs de la restauration et des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"WOODSTOCK, NB E7M  5G",6311-Superviseurs des services alimentaires,5
Nouveau-Brunswick,     Haut salaire,"Irving Consumer Products, Limited","Dieppe, NB E1A 6X4",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
Nouveau-Brunswick,     Haut salaire,"Irving Consumer Products, Limited","Dieppe, NB E1A 6X4",7242-Électriciens industriels,1
Nouveau-Brunswick,     Haut salaire,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",2171-Analystes et consultants en informatique,1
Nouveau-Brunswick,     Haut salaire,"J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2",8241-Conducteurs de machines d'abattage d'arbres,15
Nouveau-Brunswick,     Haut salaire,JPS Trucking Ltd,"Northampton, NB E7N 1E4",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,     Haut salaire,McConnell Transport Ltd.,"Jacksonville, NB E7M 3R7",7511-Conducteurs de camions de transport,35
Nouveau-Brunswick,     Haut salaire,Murray Enterprises Ltd.,"Sussex Corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,4
Nouveau-Brunswick,     Haut salaire,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,7
Nouveau-Brunswick,     Haut salaire,Regional Health Authority B,"Moncton, NB E1C 6Z8",3111-Médecins spécialistes,1
Nouveau-Brunswick,     Haut salaire,Regional Health Authority B,"SAINT JOHN, NB E2L 4L4",3111-Médecins spécialistes,1
Nouveau-Brunswick,     Haut salaire,Resson Aerospace,"Fredericton, NB E3B 9W4",2173-Ingénieurs et concepteurs en logiciel,1
Nouveau-Brunswick,     Haut salaire,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",2
Nouveau-Brunswick,     Haut salaire,Sejin Tokyo Ramen Inc. o/a Tokyo Ramen,"FREDERICTON, NB E3B 4K4",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,Sunbury Transport Limited,"SAINT JOHN, NB E2L 4H8",7511-Conducteurs de camions de transport,30
Nouveau-Brunswick,     Haut salaire,"Synoptek Canada, Inc","SAINT JOHN, NB E2L 1G2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouveau-Brunswick,     Haut salaire,Tomotachi Sushi Inc,"Fredericton, NB E3B 5H5",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,WHITE ROCK FREIGHT SERVICES INC,"Moncton, NB E1C 6L9",7511-Conducteurs de camions de transport,3
Nouveau-Brunswick,     Haut salaire,Yanakee Restaurant Ltd,"MONCTON, NB E1A 6V2",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,692059 NB Inc. o/a Osaka Hibachi,"Moncton, NB E1C 1C8",6322-Cuisiniers,3
Nouveau-Brunswick,   Bas salaire,699756 NB INC.,"Moncton, NB E1G 1A4",6332-Boulangers-pâtissiers,1
Nouveau-Brunswick,   Bas salaire,701381 NB INC.,"Saint John, NB E2M 5V8",1241-Adjoints administratifs,1
Nouveau-Brunswick,   Bas salaire,701664 NB Inc,"Dieppe, NB E1A 1P2",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,7726848 Canada Ltd. o/a St. Louis Bar & Grill,"MONCTON, NB E1C 2T9",6322-Cuisiniers,4
Nouveau-Brunswick,   Bas salaire,Allen's Enterprises inc. o/a Allen's Petro Canada,"TIMBER RIVER, NB E4M 3A1",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,Bathurst Pizza LTD,"Bathurst, NB E2A 2Z4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,"Botsford Fisheries Ltd., Les Pêcheries Botsford ltée","Cap-Pele, NB E4N 3B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,15
Nouveau-Brunswick,   Bas salaire,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,C&A Toner Ltd,"Grand Falls, NB E3Z 2W1",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Cafe JEG Ruest Inc o/a Tim Hortons,"SAINT LEONARD, NB E7E 2B6",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Car-rizma Motorsports Limited,"Saint John, NB E2J 2H6",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
Nouveau-Brunswick,   Bas salaire,DOWON BROTHERS INC.,"Moncton, NB E1C 5C4",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Fenety Convenience Store Ltd,"Waasis, NB E3B 9E1",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Fredericton Fresh Casual Restaurants,"Fredericton, NB E3B 2T7",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,JUN REALTY LTD.,"Moncton, NB E1C 5C4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Moncton Fresh Casual Restaurants Inc.,"Moncton, NB E1G 1A8",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Phillip Ouellette & Sons Ltd.,"PETIT QUAI, NB E4N 2E9",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,17
Nouveau-Brunswick,   Bas salaire,R&D Enterprises Limited,"Campbellton, NB E3N 3A9",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Ryancan Foods Inc.,"Sackville, NB E4L 4C3",6322-Cuisiniers,1
Nouveau-Brunswick,  Agriculture primaire,Cavendish Farms Corp,"Dieppe, NB E1A 6X4",8431-Ouvriers agricoles,1
Nouveau-Brunswick,  Agriculture primaire,"Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,32
Nouveau-Brunswick,  Agriculture primaire,Les Petits Fruits de Pré-d'en-Haut Inc,"Memramcook, NB E4K 1K8",8431-Ouvriers agricoles,1
Nouveau-Brunswick,  Agriculture primaire,Moxon's Country Pumpkin Ltd,"Maugerville, NB E3A 8K8",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Agriculture primaire,Premier Blueberries Inc.,"MEMRAMCOOK, NB E4K 2V3",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Agriculture primaire,Royal Gardens 2012 Ltd.,"Penobsquis, NB E4G 2C5",8432-Ouvriers de pépinières et de serres,8
Nouveau-Brunswick,  Agriculture primaire,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard Ltd.,"Memramcook, NB E4K 2S6",8611-Manoeuvres à la récolte,18
Nouveau-Brunswick,  Talent mondial,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",2172-Analystes de bases de données et administrateurs de données,1
Nouveau-Brunswick,  Talent mondial,SyntecX Global Corporation,"FREDERICTON, NB E3B 1N8",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,2972-6924 Québec Inc,"LÉVIS, QC G7A 1B1",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,3014703 Canada Inc.,"LACHINE, QC H8T 2Y1",7311-Mécaniciens de chantier et mécaniciens industriels,1
Québec,     Haut salaire,3894207 Canada Inc. (Barbies Resto Bar Grill),"BROSSARD, QC J4Y 0G5",6322-Cuisiniers,4
Québec,     Haut salaire,6144527 Canada Inc,"VAUDREUIL-DORION, QC J7V 9H5",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,6173306 Canada Inc.,"Amos, QC J9T 1H3",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,6362222 Canada Inc.,"Montréal, QC H3E 3B3",2171-Analystes et consultants en informatique,1
